2018-07-19 14:27:43.920947: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-07-19 14:27:44.096016: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 3.03GiB
2018-07-19 14:27:44.096046: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/bsize32.epoch70.lr_c2warm16000/
step:100 source:(1, 66) loss:128.492
step:15300 source:(1, 40) loss:78.1839
step:15400 source:(1, 66) loss:65.862
step:15500 source:(1, 66) loss:72.2637
step:15600 source:(1, 23) loss:77.9401
step:15700 source:(1, 66) loss:85.8388
step:15800 source:(1, 66) loss:101.311
step:15900 source:(1, 66) loss:78.7688
step:16000 source:(1, 41) loss:50.5584
step:16100 source:(1, 60) loss:73.3327
step:16200 source:(1, 36) loss:80.1754
step:16300 source:(1, 29) loss:87.6124
step:16400 source:(1, 56) loss:80.4537
step:16500 source:(1, 66) loss:82.421
step:16600 source:(1, 50) loss:64.1864
step:16700 source:(1, 66) loss:73.2371
step:16800 source:(1, 66) loss:86.3919
step:16900 source:(1, 66) loss:74.5502
step:17000 source:(1, 66) loss:86.1776
step:17100 source:(1, 57) loss:56.1679
step:17200 source:(1, 66) loss:77.8562
step:17300 source:(1, 26) loss:76.0316
step:17400 source:(1, 66) loss:83.4476
step:17500 source:(1, 66) loss:84.3663
step:17600 source:(1, 66) loss:89.4586
step:17700 source:(1, 38) loss:74.2334
step:17800 source:(1, 66) loss:90.0106
step:17900 source:(1, 66) loss:81.2441
step:18000 source:(1, 66) loss:85.7955
step:18100 source:(1, 66) loss:71.9182
step:18200 source:(1, 66) loss:86.4662
step:18300 source:(1, 48) loss:76.1129
step:18400 source:(1, 66) loss:61.7361
step:18500 source:(1, 66) loss:83.5457
step:18600 source:(1, 66) loss:75.8229
step:18700 source:(1, 48) loss:77.3422
step:18800 source:(1, 66) loss:62.2668
step:18900 source:(1, 66) loss:76.6612
step:19000 source:(1, 66) loss:68.4741
step:19100 source:(1, 66) loss:76.7621
step:19200 source:(1, 66) loss:71.9678
step:19300 source:(1, 28) loss:83.9307
step:19400 source:(1, 66) loss:82.5735
step:19500 source:(1, 66) loss:74.2888
step:19600 source:(1, 66) loss:74.9661
step:19700 source:(1, 26) loss:92.4059
step:19800 source:(1, 66) loss:82.3576
step:19900 source:(1, 66) loss:64.4043
step:20000 source:(1, 66) loss:78.4303
step:20100 source:(1, 60) loss:64.4659
step:20200 source:(1, 63) loss:89.5616
step:20300 source:(1, 66) loss:82.9239
step:20400 source:(1, 62) loss:75.9117
step:20500 source:(1, 42) loss:91.2573
step:20600 source:(1, 27) loss:84.1451
step:20700 source:(1, 54) loss:75.0813
step:20800 source:(1, 66) loss:70.1557
step:20900 source:(1, 54) loss:97.6283
step:21000 source:(1, 66) loss:87.3775
step:21100 source:(1, 66) loss:90.2102
step:21200 source:(1, 40) loss:89.7529
step:21300 source:(1, 55) loss:58.8037
step:21400 source:(1, 66) loss:80.3089
step:21500 source:(1, 66) loss:61.6922
step:21600 source:(1, 66) loss:85.8625
step:21700 source:(1, 66) loss:72.2055
step:21800 source:(1, 66) loss:81.3451
step:21900 source:(1, 33) loss:46.1843
step:22000 source:(1, 66) loss:65.0904
step:22100 source:(1, 66) loss:77.3575
step:22200 source:(1, 66) loss:82.7625
step:22300 source:(1, 56) loss:87.3438
step:22400 source:(1, 53) loss:60.0938
step:22500 source:(1, 24) loss:75.237
step:22600 source:(1, 66) loss:82.3256
step:22700 source:(1, 66) loss:81.9699
step:22800 source:(1, 55) loss:68.4945
step:22900 source:(1, 66) loss:72.3775
step:23000 source:(1, 66) loss:73.8551
step:23100 source:(1, 62) loss:78.3511
step:23200 source:(1, 66) loss:79.108
step:23300 source:(1, 56) loss:75.1141
step:23400 source:(1, 66) loss:76.084
step:23500 source:(1, 42) loss:91.5364
step:23600 source:(1, 44) loss:70.1698
step:23700 source:(1, 66) loss:77.0725
step:23800 source:(1, 66) loss:84.2299
step:23900 source:(1, 43) loss:74.8908
step:24000 source:(1, 66) loss:77.5506
step:24100 source:(1, 43) loss:74.2674
step:24200 source:(1, 27) loss:68.0889
step:24300 source:(1, 66) loss:85.4344
step:24400 source:(1, 50) loss:79.7824
step:24500 source:(1, 66) loss:81.1038
step:24600 source:(1, 66) loss:83.8171
step:24700 source:(1, 66) loss:65.5711
step:24800 source:(1, 66) loss:73.638
step:24900 source:(1, 60) loss:87.0366
step:25000 source:(1, 27) loss:83.0404
step:25100 source:(1, 66) loss:71.4633
step:25200 source:(1, 61) loss:68.41
step:25300 source:(1, 24) loss:87.524
step:25400 source:(1, 66) loss:78.299
step:25500 source:(1, 66) loss:69.5592
step:25600 source:(1, 66) loss:76.945
step:25700 source:(1, 66) loss:66.4758
step:25800 source:(1, 31) loss:73.2651
step:25900 source:(1, 40) loss:65.9308
step:26000 source:(1, 32) loss:74.9378
step:26100 source:(1, 47) loss:79.4414
step:26200 source:(1, 66) loss:63.3197
step:26300 source:(1, 51) loss:81.9756
step:26400 source:(1, 29) loss:61.9585
step:26500 source:(1, 49) loss:93.7911
step:26600 source:(1, 66) loss:64.4606
step:26700 source:(1, 66) loss:77.0173
step:26800 source:(1, 57) loss:79.5869
step:26900 source:(1, 56) loss:70.8152
step:27000 source:(1, 66) loss:57.144
step:27100 source:(1, 26) loss:47.2855
step:27200 source:(1, 66) loss:91.089
step:27300 source:(1, 66) loss:63.9672
step:27400 source:(1, 66) loss:73.9976
step:27500 source:(1, 56) loss:81.7581
step:27600 source:(1, 66) loss:75.0417
step:27700 source:(1, 66) loss:71.0509
step:27800 source:(1, 66) loss:60.8936
step:27900 source:(1, 66) loss:75.6039
step:28000 source:(1, 66) loss:83.3577
step:28100 source:(1, 66) loss:77.7883
step:28200 source:(1, 25) loss:77.4986
step:28300 source:(1, 51) loss:84.462
step:28400 source:(1, 64) loss:87.1608
step:28500 source:(1, 66) loss:92.9851
step:28600 source:(1, 59) loss:72.1129
step:28700 source:(1, 25) loss:74.8436
step:28800 source:(1, 36) loss:87.5586
step:28900 source:(1, 66) loss:75.189
step:29000 source:(1, 66) loss:106.831
step:29100 source:(1, 66) loss:65.6915
step:29200 source:(1, 66) loss:74.3062
step:29300 source:(1, 35) loss:81.3082
step:29400 source:(1, 28) loss:81.4525
step:29500 source:(1, 66) loss:78.7207
step:29600 source:(1, 29) loss:57.8475
step:29700 source:(1, 66) loss:77.0015
step:29800 source:(1, 66) loss:70.5404
step:29900 source:(1, 66) loss:75.2607
step:30000 source:(1, 66) loss:73.0243
step:30100 source:(1, 31) loss:74.7571
step:30200 source:(1, 50) loss:74.9854
step:30300 source:(1, 22) loss:81.2835
step:30400 source:(1, 66) loss:76.1548
step:30500 source:(1, 46) loss:73.708
step:30600 source:(1, 66) loss:70.4665
step:30700 source:(1, 53) loss:87.4945
step:30800 source:(1, 39) loss:46.2284
step:30900 source:(1, 37) loss:75.1762
step:31000 source:(1, 66) loss:70.0527
step:31100 source:(1, 39) loss:78.3919
step:31200 source:(1, 66) loss:76.7642
step:31300 source:(1, 66) loss:88.6102
step:31400 source:(1, 66) loss:75.8907
step:31500 source:(1, 66) loss:78.9333
step:31600 source:(1, 66) loss:62.1804
step:31700 source:(1, 66) loss:73.5649
step:31800 source:(1, 66) loss:80.6529
step:31900 source:(1, 32) loss:79.0991
step:32000 source:(1, 50) loss:74.1644
step:32100 source:(1, 66) loss:72.7449
step:32200 source:(1, 66) loss:68.2328
step:32300 source:(1, 66) loss:76.3243
step:32400 source:(1, 44) loss:62.0424
step:32500 source:(1, 44) loss:69.1946
step:32600 source:(1, 66) loss:67.1535
step:32700 source:(1, 66) loss:61.1807
step:32800 source:(1, 66) loss:73.0892
step:32900 source:(1, 44) loss:82.027
step:33000 source:(1, 30) loss:96.2496
step:33100 source:(1, 39) loss:74.3493
step:33200 source:(1, 56) loss:63.9223
step:33300 source:(1, 34) loss:72.4804
step:33400 source:(1, 66) loss:81.1567
step:33500 source:(1, 66) loss:59.3547
step:33600 source:(1, 56) loss:76.7017
step:33700 source:(1, 64) loss:83.6474
step:33800 source:(1, 34) loss:85.6721
step:33900 source:(1, 66) loss:90.705
step:34000 source:(1, 66) loss:78.6068
step:34100 source:(1, 66) loss:55.9872
step:34200 source:(1, 59) loss:74.3497
step:34300 source:(1, 66) loss:76.8699
step:34400 source:(1, 28) loss:70.62
step:34500 source:(1, 66) loss:73.4175
step:34600 source:(1, 66) loss:84.6913
step:34700 source:(1, 65) loss:67.91
step:34800 source:(1, 66) loss:84.1921
step:34900 source:(1, 66) loss:86.682
step:35000 source:(1, 66) loss:76.4932
step:35100 source:(1, 66) loss:92.5291
step:35200 source:(1, 29) loss:72.3569
step:35300 source:(1, 66) loss:81.7249
step:35400 source:(1, 66) loss:57.1079
step:35500 source:(1, 23) loss:62.9871
step:35600 source:(1, 58) loss:78.6648
step:35700 source:(1, 66) loss:86.2649
step:35800 source:(1, 66) loss:76.4382
step:35900 source:(1, 66) loss:69.2724
step:36000 source:(1, 66) loss:73.2225
step:36100 source:(1, 66) loss:65.3855
step:36200 source:(1, 66) loss:85.6288
step:36300 source:(1, 33) loss:64.3754
step:36400 source:(1, 40) loss:70.8749
step:36500 source:(1, 34) loss:79.0379
step:36600 source:(1, 29) loss:77.9629
step:36700 source:(1, 66) loss:86.1326
step:36800 source:(1, 66) loss:50.9485
step:36900 source:(1, 66) loss:78.9074
step:37000 source:(1, 66) loss:75.6588
step:37100 source:(1, 66) loss:64.3014
step:37200 source:(1, 33) loss:80.9467
step:37300 source:(1, 38) loss:76.312
step:37400 source:(1, 66) loss:66.0549
step:37500 source:(1, 66) loss:79.9316
step:37600 source:(1, 66) loss:82.3053
step:37700 source:(1, 44) loss:86.5362
step:37800 source:(1, 66) loss:62.9271
step:37900 source:(1, 28) loss:67.491
step:38000 source:(1, 66) loss:81.1009
step:38100 source:(1, 66) loss:81.818
step:38200 source:(1, 39) loss:75.0189
step:38300 source:(1, 66) loss:73.5583
step:38400 source:(1, 32) loss:77.0376
step:38500 source:(1, 46) loss:86.1086
step:38600 source:(1, 37) loss:75.5424
step:38700 source:(1, 66) loss:76.5874
step:38800 source:(1, 66) loss:59.0305
step:38900 source:(1, 23) loss:74.7649
step:39000 source:(1, 66) loss:80.5469
step:39100 source:(1, 53) loss:91.4899
step:39200 source:(1, 66) loss:99.3383
step:39300 source:(1, 38) loss:84.447
step:39400 source:(1, 40) loss:80.5548
step:39500 source:(1, 37) loss:77.4646
step:39600 source:(1, 66) loss:52.6222
step:39700 source:(1, 26) loss:69.244
step:39800 source:(1, 37) loss:64.261
step:39900 source:(1, 66) loss:89.973
step:40000 source:(1, 66) loss:69.7211
step:40100 source:(1, 65) loss:67.8317
step:40200 source:(1, 29) loss:78.6157
step:40300 source:(1, 66) loss:85.5147
step:40400 source:(1, 66) loss:79.5829
step:40500 source:(1, 36) loss:65.5725
step:40600 source:(1, 66) loss:80.7466
step:40700 source:(1, 42) loss:73.0728
step:40800 source:(1, 66) loss:83.8874
step:40900 source:(1, 66) loss:69.0888
step:41000 source:(1, 33) loss:64.392
step:41100 source:(1, 66) loss:60.2954
step:41200 source:(1, 66) loss:73.1909
step:41300 source:(1, 66) loss:81.3214
step:41400 source:(1, 54) loss:79.4059
step:41500 source:(1, 55) loss:58.7598
step:41600 source:(1, 66) loss:72.031
step:41700 source:(1, 66) loss:88.0789
step:41800 source:(1, 48) loss:73.0529
step:41900 source:(1, 66) loss:62.3612
step:42000 source:(1, 59) loss:76.23
step:42100 source:(1, 66) loss:67.549
step:42200 source:(1, 66) loss:87.1419
step:42300 source:(1, 66) loss:81.0518
step:42400 source:(1, 66) loss:75.7228
step:42500 source:(1, 28) loss:82.5891
step:42600 source:(1, 66) loss:65.8945
step:42700 source:(1, 66) loss:59.8397
step:42800 source:(1, 53) loss:80.9901
step:42900 source:(1, 56) loss:73.4176
step:43000 source:(1, 33) loss:69.6479
step:43100 source:(1, 66) loss:71.5371
step:43200 source:(1, 66) loss:86.6645
step:43300 source:(1, 66) loss:88.4506
step:43400 source:(1, 37) loss:63.9375
step:43500 source:(1, 32) loss:86.1728
step:43600 source:(1, 33) loss:86.8373
step:43700 source:(1, 66) loss:87.2157
step:43800 source:(1, 64) loss:82.6197
step:43900 source:(1, 54) loss:86.2809
step:44000 source:(1, 66) loss:63.7329
step:44100 source:(1, 66) loss:92.2299
step:44200 source:(1, 63) loss:78.587
step:44300 source:(1, 66) loss:66.596
step:44400 source:(1, 44) loss:73.3962
step:44500 source:(1, 53) loss:60.2879
step:44600 source:(1, 66) loss:66.5066
step:44700 source:(1, 64) loss:102.008
step:44800 source:(1, 50) loss:83.1094
step:44900 source:(1, 66) loss:78.1387
step:45000 source:(1, 66) loss:59.9448
step:45100 source:(1, 66) loss:72.0669
step:45200 source:(1, 44) loss:79.0366
step:45300 source:(1, 22) loss:75.9186
step:45400 source:(1, 66) loss:88.6776
step:45500 source:(1, 66) loss:76.416
step:45600 source:(1, 59) loss:82.7521
step:45700 source:(1, 48) loss:84.4029
step:45800 source:(1, 37) loss:80.9
step:45900 source:(1, 26) loss:79.0074
step:46000 source:(1, 66) loss:69.204
step:46100 source:(1, 66) loss:60.5566
step:46200 source:(1, 66) loss:74.9098
step:46300 source:(1, 55) loss:51.831
step:46400 source:(1, 66) loss:84.2321
step:46500 source:(1, 66) loss:62.035
step:46600 source:(1, 46) loss:77.2178
step:46700 source:(1, 66) loss:74.1855
step:46800 source:(1, 35) loss:83.7757
step:46900 source:(1, 66) loss:69.9417
step:47000 source:(1, 66) loss:68.9012
step:47100 source:(1, 66) loss:80.1857
step:47200 source:(1, 48) loss:72.2874
step:47300 source:(1, 66) loss:73.8565
step:47400 source:(1, 66) loss:71.2678
step:47500 source:(1, 26) loss:68.8457
step:47600 source:(1, 47) loss:82.1175
step:47700 source:(1, 66) loss:93.0784
step:47800 source:(1, 66) loss:64.5225
step:47900 source:(1, 38) loss:76.1534
step:48000 source:(1, 66) loss:73.0533
step:48100 source:(1, 36) loss:77.9323
step:48200 source:(1, 27) loss:74.9717
step:48300 source:(1, 66) loss:44.9077
step:48400 source:(1, 66) loss:74.6006
step:48500 source:(1, 66) loss:73.723
step:48600 source:(1, 66) loss:69.7406
step:48700 source:(1, 66) loss:95.4131
step:48800 source:(1, 37) loss:63.2217
step:48900 source:(1, 66) loss:69.2989
step:49000 source:(1, 66) loss:70.5455
step:49100 source:(1, 66) loss:94.4074
step:49200 source:(1, 59) loss:83.5235
step:49300 source:(1, 62) loss:91.0014
step:49400 source:(1, 49) loss:81.826
step:49500 source:(1, 47) loss:68.2472
step:49600 source:(1, 66) loss:74.5224
step:49700 source:(1, 44) loss:79.7199
step:49800 source:(1, 66) loss:95.3614
step:49900 source:(1, 66) loss:96.7997
step:50000 source:(1, 46) loss:73.9059
step:50100 source:(1, 54) loss:99.6722
step:50200 source:(1, 24) loss:69.8906
step:50300 source:(1, 30) loss:80.5819
step:50400 source:(1, 49) loss:73.5457
step:50500 source:(1, 66) loss:78.0078
step:50600 source:(1, 60) loss:83.4044
step:50700 source:(1, 66) loss:68.9066
step:50800 source:(1, 66) loss:75.5586
step:50900 source:(1, 53) loss:69.3044
step:51000 source:(1, 66) loss:72.9613
step:51100 source:(1, 55) loss:89.8981
step:51200 source:(1, 22) loss:84.5937
step:51300 source:(1, 60) loss:52.2048
step:51400 source:(1, 66) loss:70.3829
step:51500 source:(1, 63) loss:85.1115
step:51600 source:(1, 66) loss:68.8778
step:51700 source:(1, 66) loss:67.9304
step:51800 source:(1, 28) loss:59.8227
step:51900 source:(1, 66) loss:71.8928
step:52000 source:(1, 31) loss:94.3301
step:52100 source:(1, 66) loss:78.7353
step:52200 source:(1, 54) loss:80.8539
step:52300 source:(1, 60) loss:90.4066
step:52400 source:(1, 66) loss:79.7861
step:52500 source:(1, 33) loss:69.2637
step:52600 source:(1, 44) loss:81.0981
step:52700 source:(1, 66) loss:72.3683
step:52800 source:(1, 27) loss:69.8734
step:52900 source:(1, 66) loss:59.458
step:53000 source:(1, 53) loss:80.9131
step:53100 source:(1, 61) loss:81.5695
step:53200 source:(1, 66) loss:68.1316
step:53300 source:(1, 38) loss:81.3902
step:53400 source:(1, 43) loss:78.0219
step:53500 source:(1, 66) loss:78.5044
step:53600 source:(1, 66) loss:79.1758
step:53700 source:(1, 66) loss:75.2128
step:53800 source:(1, 33) loss:81.5327
step:53900 source:(1, 66) loss:67.4789
step:54000 source:(1, 31) loss:87.8897
step:54100 source:(1, 66) loss:74.0579
step:54200 source:(1, 66) loss:72.9198
step:54300 source:(1, 66) loss:78.1368
step:54400 source:(1, 62) loss:80.763
step:54500 source:(1, 66) loss:61.1078
step:54600 source:(1, 43) loss:77.8761
step:54700 source:(1, 66) loss:81.7449
step:54800 source:(1, 66) loss:81.359
step:54900 source:(1, 26) loss:78.9297
step:55000 source:(1, 31) loss:75.2158
step:55100 source:(1, 43) loss:85.6537
step:55200 source:(1, 66) loss:84.5872
step:55300 source:(1, 40) loss:72.5485
step:55400 source:(1, 66) loss:84.2207
step:55500 source:(1, 66) loss:101.551
step:55600 source:(1, 66) loss:67.7828
step:55700 source:(1, 22) loss:98.1807
step:55800 source:(1, 66) loss:86.9088
step:55900 source:(1, 28) loss:84.4011
step:56000 source:(1, 66) loss:88.9105
step:56100 source:(1, 66) loss:68.3973
step:56200 source:(1, 66) loss:84.4555
step:56300 source:(1, 22) loss:77.3938
step:56400 source:(1, 35) loss:92.1928
step:56500 source:(1, 66) loss:75.2689
step:56600 source:(1, 49) loss:83.6137
step:56700 source:(1, 66) loss:71.4073
step:56800 source:(1, 66) loss:95.2258
step:56900 source:(1, 44) loss:74.4394
step:57000 source:(1, 66) loss:68.6445
step:57100 source:(1, 66) loss:60.0723
step:57200 source:(1, 24) loss:76.4429
step:57300 source:(1, 25) loss:57.4667
step:57400 source:(1, 48) loss:98.2632
step:57500 source:(1, 57) loss:69.0104
step:57600 source:(1, 39) loss:57.0898
step:57700 source:(1, 66) loss:70.7691
step:57800 source:(1, 34) loss:62.7351
step:57900 source:(1, 66) loss:85.4102
step:58000 source:(1, 24) loss:68.6236
step:58100 source:(1, 53) loss:63.2753
step:58200 source:(1, 66) loss:74.8001
step:58300 source:(1, 48) loss:61.9425
step:58400 source:(1, 66) loss:78.3595
step:58500 source:(1, 59) loss:82.5056
step:58600 source:(1, 52) loss:71.0793
step:58700 source:(1, 48) loss:83.3148
step:58800 source:(1, 43) loss:88.8073
step:58900 source:(1, 66) loss:74.5882
step:59000 source:(1, 39) loss:71.0148
step:59100 source:(1, 66) loss:79.2981
step:59200 source:(1, 66) loss:65.5851
step:59300 source:(1, 66) loss:72.5573
step:59400 source:(1, 66) loss:58.1577
step:59500 source:(1, 35) loss:99.1001
step:59600 source:(1, 66) loss:89.8473
step:59700 source:(1, 32) loss:89.861
step:59800 source:(1, 66) loss:73.7307
step:59900 source:(1, 66) loss:85.9033
step:60000 source:(1, 66) loss:73.0949
step:60100 source:(1, 30) loss:91.5606
step:60200 source:(1, 41) loss:70.2521
step:60300 source:(1, 66) loss:93.227
step:60400 source:(1, 23) loss:64.6837
step:60500 source:(1, 43) loss:80.7355
step:60600 source:(1, 66) loss:83.6982
step:60700 source:(1, 43) loss:71.511
step:60800 source:(1, 54) loss:85.9803
step:60900 source:(1, 66) loss:72.9788
step:61000 source:(1, 54) loss:72.9476
step:61100 source:(1, 59) loss:76.0358
step:61200 source:(1, 66) loss:74.0963
step:61300 source:(1, 32) loss:88.4668
step:61400 source:(1, 41) loss:76.6412
step:61500 source:(1, 41) loss:65.1323
step:61600 source:(1, 66) loss:74.045
step:61700 source:(1, 25) loss:70.7119
step:61800 source:(1, 62) loss:86.609
step:61900 source:(1, 36) loss:74.9059
step:62000 source:(1, 66) loss:73.038
step:62100 source:(1, 43) loss:92.676
step:62200 source:(1, 66) loss:65.965
step:62300 source:(1, 35) loss:96.215
step:62400 source:(1, 66) loss:96.9569
