train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/bsize100.epoch150.seqlen32.random.present0.5.partition3.hidden512/
step:1 source:(100, 34) loss:4.8943 lr:0.000354
step:7801 source:(100, 34) loss:3.23278 lr:0.000354
step:8001 source:(100, 34) loss:3.33581 lr:0.000354
step:8201 source:(100, 34) loss:3.37496 lr:0.000354
step:8401 source:(100, 34) loss:3.25702 lr:0.000354
step:8601 source:(100, 34) loss:3.19966 lr:0.000354
step:8801 source:(100, 34) loss:3.32548 lr:0.000354
step:9001 source:(100, 34) loss:3.28171 lr:0.000354
step:9201 source:(100, 34) loss:3.23716 lr:0.000354
step:9401 source:(100, 34) loss:3.27058 lr:0.000354
step:9601 source:(100, 34) loss:3.33935 lr:0.000354
step:9801 source:(100, 34) loss:3.184 lr:0.000354
step:10001 source:(100, 34) loss:3.28278 lr:0.000354
step:10201 source:(100, 34) loss:3.31893 lr:0.000354
step:10401 source:(100, 34) loss:3.2125 lr:0.000354
step:10601 source:(100, 34) loss:3.37008 lr:0.000354
step:10801 source:(100, 34) loss:3.2368 lr:0.000354
epoch:10 test_present_rate:0.5 test_bleu:37.03741431236267 template_bleu:38.014715909957886
epoch:10 test_present_rate:0.5 test_bleu:37.47366964817047 template_bleu:38.0392849445343
step:11001 source:(100, 34) loss:3.18986 lr:0.000354
step:11201 source:(100, 34) loss:3.2226 lr:0.000354
step:11401 source:(100, 34) loss:3.22272 lr:0.000354
step:11601 source:(100, 34) loss:3.22134 lr:0.000354
step:11801 source:(100, 34) loss:3.16194 lr:0.000354
step:12001 source:(100, 34) loss:3.18749 lr:0.000354
step:12201 source:(100, 34) loss:3.28197 lr:0.000354
step:12401 source:(100, 34) loss:3.23163 lr:0.000354
step:12601 source:(100, 34) loss:3.28957 lr:0.000354
step:12801 source:(100, 34) loss:3.31979 lr:0.000354
step:13001 source:(100, 34) loss:3.20722 lr:0.000354
step:13201 source:(100, 34) loss:3.30409 lr:0.000354
step:13401 source:(100, 34) loss:3.13529 lr:0.000354
step:13601 source:(100, 34) loss:3.23039 lr:0.000354
step:13801 source:(100, 34) loss:3.29522 lr:0.000354
step:14001 source:(100, 34) loss:3.18723 lr:0.000354
step:14201 source:(100, 34) loss:3.25758 lr:0.000354
step:14401 source:(100, 34) loss:3.20395 lr:0.000354
step:14601 source:(100, 34) loss:3.51366 lr:0.000354
step:14801 source:(100, 34) loss:3.3525 lr:0.000354
step:15001 source:(100, 34) loss:3.29386 lr:0.000354
step:15201 source:(100, 34) loss:3.299 lr:0.000354
step:15401 source:(100, 34) loss:3.22585 lr:0.000354
step:15601 source:(100, 34) loss:3.29875 lr:0.000354
step:15801 source:(100, 34) loss:3.27299 lr:0.000354
epoch:15 test_present_rate:0.5 test_bleu:35.95607876777649 template_bleu:38.00445795059204
epoch:15 test_present_rate:0.5 test_bleu:36.31272614002228 template_bleu:38.08031976222992
step:16001 source:(100, 34) loss:3.36554 lr:0.000035
step:16201 source:(100, 34) loss:3.13906 lr:0.000035
step:16401 source:(100, 34) loss:3.17142 lr:0.000035
step:16601 source:(100, 34) loss:3.15765 lr:0.000035
step:16801 source:(100, 34) loss:3.19161 lr:0.000035
step:17001 source:(100, 34) loss:3.05345 lr:0.000035
step:17201 source:(100, 34) loss:3.30896 lr:0.000035
step:17401 source:(100, 34) loss:3.13021 lr:0.000035
step:17601 source:(100, 34) loss:3.1625 lr:0.000035
step:17801 source:(100, 34) loss:3.19693 lr:0.000035
step:18001 source:(100, 34) loss:3.10461 lr:0.000035
step:18201 source:(100, 34) loss:3.11503 lr:0.000035
step:18401 source:(100, 34) loss:3.08294 lr:0.000035
step:18601 source:(100, 34) loss:3.20177 lr:0.000035
step:18801 source:(100, 34) loss:3.28411 lr:0.000035
step:19001 source:(100, 34) loss:3.09558 lr:0.000035
step:19201 source:(100, 34) loss:3.18033 lr:0.000035
step:19401 source:(100, 34) loss:3.00406 lr:0.000035
step:19601 source:(100, 34) loss:3.14267 lr:0.000035
step:19801 source:(100, 34) loss:3.14631 lr:0.000035
step:20001 source:(100, 34) loss:3.07936 lr:0.000035
step:20201 source:(100, 34) loss:3.20818 lr:0.000035
step:20401 source:(100, 34) loss:3.17208 lr:0.000035
step:20601 source:(100, 34) loss:3.14857 lr:0.000035
step:20801 source:(100, 34) loss:3.15815 lr:0.000035
epoch:20 test_present_rate:0.5 test_bleu:36.57539486885071 template_bleu:38.14046382904053
epoch:20 test_present_rate:0.5 test_bleu:37.042397260665894 template_bleu:38.09487819671631
step:21001 source:(100, 34) loss:3.16537 lr:0.000035
step:21201 source:(100, 34) loss:3.23251 lr:0.000035
step:21401 source:(100, 34) loss:3.08992 lr:0.000035
step:21601 source:(100, 34) loss:3.20086 lr:0.000035
step:21801 source:(100, 34) loss:3.27942 lr:0.000035
step:22001 source:(100, 34) loss:3.04621 lr:0.000035
step:22201 source:(100, 34) loss:3.15182 lr:0.000035
step:22401 source:(100, 34) loss:3.14567 lr:0.000035
step:22601 source:(100, 34) loss:3.16646 lr:0.000035
step:22801 source:(100, 34) loss:3.1684 lr:0.000035
step:23001 source:(100, 34) loss:3.19082 lr:0.000035
step:23201 source:(100, 34) loss:3.23565 lr:0.000035
step:23401 source:(100, 34) loss:3.11034 lr:0.000035
step:23601 source:(100, 34) loss:3.23453 lr:0.000035
step:23801 source:(100, 34) loss:3.18141 lr:0.000035
step:24001 source:(100, 34) loss:3.1805 lr:0.000035
step:24201 source:(100, 34) loss:3.13417 lr:0.000035
step:24401 source:(100, 34) loss:3.09597 lr:0.000035
step:24601 source:(100, 34) loss:3.18561 lr:0.000035
step:24801 source:(100, 34) loss:3.20033 lr:0.000035
