2018-05-17 11:09:58.380724: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-05-17 11:09:58.549518: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:04:00.0
totalMemory: 7.92GiB freeMemory: 6.43GiB
2018-05-17 11:09:58.549546: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:04:00.0, compute capability: 6.1)
global step: 2200, learning rate: 0.0030000, training ppl: 261.483162, valid ppl: 256.777883, test ppl: 236.314315

global step: 2300, learning rate: 0.0030000, training ppl: 256.348262, valid ppl: 241.178365, test ppl: 223.940723

global step: 2400, learning rate: 0.0030000, training ppl: 251.628921, valid ppl: 223.814904, test ppl: 209.786380

global step: 2500, learning rate: 0.0030000, training ppl: 196.480875, valid ppl: 219.664052, test ppl: 206.227246

global step: 2600, learning rate: 0.0030000, training ppl: 185.503067, valid ppl: 220.426706, test ppl: 202.177021

global step: 2700, learning rate: 0.0030000, training ppl: 183.454956, valid ppl: 207.356271, test ppl: 193.740477

global step: 2800, learning rate: 0.0030000, training ppl: 181.240666, valid ppl: 206.233082, test ppl: 193.482941

global step: 2900, learning rate: 0.0030000, training ppl: 178.034375, valid ppl: 203.476291, test ppl: 188.222326

global step: 3000, learning rate: 0.0030000, training ppl: 172.915447, valid ppl: 197.582301, test ppl: 184.244695

global step: 3100, learning rate: 0.0030000, training ppl: 169.619543, valid ppl: 195.325732, test ppl: 181.569241

global step: 3200, learning rate: 0.0030000, training ppl: 167.000262, valid ppl: 190.796002, test ppl: 179.399962

global step: 3300, learning rate: 0.0030000, training ppl: 164.904113, valid ppl: 186.897307, test ppl: 174.953795

global step: 3400, learning rate: 0.0030000, training ppl: 162.951999, valid ppl: 184.686253, test ppl: 172.333337

global step: 3500, learning rate: 0.0030000, training ppl: 160.946630, valid ppl: 182.286006, test ppl: 168.893259

global step: 3600, learning rate: 0.0030000, training ppl: 159.526838, valid ppl: 184.414538, test ppl: 171.214420

global step: 3700, learning rate: 0.0030000, training ppl: 144.329638, valid ppl: 182.358407, test ppl: 169.709096

global step: 3800, learning rate: 0.0030000, training ppl: 138.004997, valid ppl: 173.946929, test ppl: 161.338370

global step: 3900, learning rate: 0.0030000, training ppl: 135.423538, valid ppl: 178.061861, test ppl: 164.904895

global step: 4000, learning rate: 0.0030000, training ppl: 135.535791, valid ppl: 175.273846, test ppl: 164.428809

global step: 4100, learning rate: 0.0030000, training ppl: 135.043574, valid ppl: 172.801637, test ppl: 163.356155

global step: 4200, learning rate: 0.0030000, training ppl: 132.689123, valid ppl: 173.064640, test ppl: 162.415614

global step: 4300, learning rate: 0.0030000, training ppl: 130.431907, valid ppl: 168.510445, test ppl: 157.529611

global step: 4400, learning rate: 0.0030000, training ppl: 129.162680, valid ppl: 168.306482, test ppl: 157.110367

global step: 4500, learning rate: 0.0030000, training ppl: 128.731085, valid ppl: 165.046877, test ppl: 156.417038

global step: 4600, learning rate: 0.0030000, training ppl: 128.022443, valid ppl: 165.970273, test ppl: 153.272305

global step: 4700, learning rate: 0.0030000, training ppl: 126.729727, valid ppl: 163.620358, test ppl: 152.834035

global step: 4800, learning rate: 0.0030000, training ppl: 126.205022, valid ppl: 163.544759, test ppl: 154.488587

global step: 4900, learning rate: 0.0030000, training ppl: 129.899099, valid ppl: 161.966219, test ppl: 152.706311

global step: 5000, learning rate: 0.0030000, training ppl: 118.675958, valid ppl: 160.324135, test ppl: 149.740831

global step: 5100, learning rate: 0.0030000, training ppl: 114.703965, valid ppl: 162.091551, test ppl: 151.459285

global step: 5200, learning rate: 0.0030000, training ppl: 114.690309, valid ppl: 160.768768, test ppl: 150.173160

global step: 5300, learning rate: 0.0030000, training ppl: 115.330939, valid ppl: 158.029457, test ppl: 147.796307

global step: 5400, learning rate: 0.0030000, training ppl: 113.875348, valid ppl: 158.706340, test ppl: 147.159315

global step: 5500, learning rate: 0.0030000, training ppl: 111.655743, valid ppl: 159.809462, test ppl: 146.137430

global step: 5600, learning rate: 0.0030000, training ppl: 111.107681, valid ppl: 156.161610, test ppl: 144.937759

global step: 5700, learning rate: 0.0030000, training ppl: 110.701193, valid ppl: 154.990083, test ppl: 144.881021

global step: 5800, learning rate: 0.0030000, training ppl: 110.497411, valid ppl: 157.184759, test ppl: 145.689738

global step: 5900, learning rate: 0.0030000, training ppl: 109.666961, valid ppl: 157.927073, test ppl: 150.771784

global step: 6000, learning rate: 0.0030000, training ppl: 109.680599, valid ppl: 155.333824, test ppl: 144.371500

global step: 6100, learning rate: 0.0030000, training ppl: 109.615401, valid ppl: 154.421245, test ppl: 143.005860

global step: 6200, learning rate: 0.0030000, training ppl: 106.202658, valid ppl: 152.904955, test ppl: 141.867403

global step: 6300, learning rate: 0.0030000, training ppl: 101.999548, valid ppl: 152.898518, test ppl: 142.846999

global step: 6400, learning rate: 0.0030000, training ppl: 103.325629, valid ppl: 151.248573, test ppl: 141.763423

global step: 6500, learning rate: 0.0030000, training ppl: 103.421406, valid ppl: 152.631476, test ppl: 142.574209

global step: 6600, learning rate: 0.0030000, training ppl: 102.818089, valid ppl: 151.918599, test ppl: 139.875932

global step: 6700, learning rate: 0.0030000, training ppl: 100.872362, valid ppl: 154.589266, test ppl: 142.792895

global step: 6800, learning rate: 0.0030000, training ppl: 100.553673, valid ppl: 151.589276, test ppl: 140.678812

global step: 6900, learning rate: 0.0030000, training ppl: 100.225609, valid ppl: 150.504325, test ppl: 140.081599

global step: 7000, learning rate: 0.0030000, training ppl: 100.109952, valid ppl: 149.795950, test ppl: 137.412747

global step: 7100, learning rate: 0.0030000, training ppl: 99.281081, valid ppl: 148.356127, test ppl: 139.407043

global step: 7200, learning rate: 0.0030000, training ppl: 99.343595, valid ppl: 148.924538, test ppl: 139.717981

global step: 7300, learning rate: 0.0030000, training ppl: 99.393542, valid ppl: 150.071351, test ppl: 140.162491

global step: 7400, learning rate: 0.0030000, training ppl: 97.862236, valid ppl: 150.468117, test ppl: 136.181653

global step: 7500, learning rate: 0.0030000, training ppl: 93.404045, valid ppl: 147.945068, test ppl: 136.847478

global step: 7600, learning rate: 0.0030000, training ppl: 94.422313, valid ppl: 147.500406, test ppl: 137.760894

global step: 7700, learning rate: 0.0030000, training ppl: 95.412253, valid ppl: 146.718402, test ppl: 138.217352

global step: 7800, learning rate: 0.0030000, training ppl: 95.009550, valid ppl: 148.074497, test ppl: 134.991243

global step: 7900, learning rate: 0.0030000, training ppl: 93.496979, valid ppl: 146.068586, test ppl: 135.296401

global step: 8000, learning rate: 0.0030000, training ppl: 93.184908, valid ppl: 147.407951, test ppl: 135.397886

global step: 8100, learning rate: 0.0030000, training ppl: 93.034810, valid ppl: 146.576956, test ppl: 135.161884

global step: 8200, learning rate: 0.0030000, training ppl: 93.076904, valid ppl: 145.115108, test ppl: 134.020104

global step: 8300, learning rate: 0.0030000, training ppl: 92.626846, valid ppl: 146.336614, test ppl: 134.797853

global step: 8400, learning rate: 0.0030000, training ppl: 92.558842, valid ppl: 145.971976, test ppl: 133.571184

global step: 8500, learning rate: 0.0030000, training ppl: 92.590182, valid ppl: 146.920721, test ppl: 134.836394

global step: 8600, learning rate: 0.0030000, training ppl: 91.835939, valid ppl: 148.018442, test ppl: 136.851781

global step: 8700, learning rate: 0.0030000, training ppl: 88.917194, valid ppl: 141.662302, test ppl: 131.325876

global step: 8800, learning rate: 0.0030000, training ppl: 88.953123, valid ppl: 145.321843, test ppl: 134.215966

global step: 8900, learning rate: 0.0030000, training ppl: 89.522330, valid ppl: 145.106493, test ppl: 132.563803

global step: 9000, learning rate: 0.0030000, training ppl: 89.354912, valid ppl: 142.105292, test ppl: 131.502266

global step: 9100, learning rate: 0.0030000, training ppl: 88.365840, valid ppl: 141.962535, test ppl: 131.639284

global step: 9200, learning rate: 0.0030000, training ppl: 87.694149, valid ppl: 142.134769, test ppl: 131.345273

global step: 9300, learning rate: 0.0030000, training ppl: 87.591036, valid ppl: 143.900311, test ppl: 133.466615

global step: 9400, learning rate: 0.0030000, training ppl: 87.634682, valid ppl: 142.136026, test ppl: 131.683335

global step: 9500, learning rate: 0.0030000, training ppl: 87.473516, valid ppl: 143.765761, test ppl: 131.071756

global step: 9600, learning rate: 0.0030000, training ppl: 87.124393, valid ppl: 142.777404, test ppl: 133.004631

global step: 9700, learning rate: 0.0030000, training ppl: 87.226359, valid ppl: 143.649700, test ppl: 131.959583

global step: 9800, learning rate: 0.0030000, training ppl: 88.440321, valid ppl: 142.909318, test ppl: 133.456584

global step: 9900, learning rate: 0.0030000, training ppl: 85.590927, valid ppl: 143.637705, test ppl: 131.679393

global step: 10000, learning rate: 0.0030000, training ppl: 84.173603, valid ppl: 139.841478, test ppl: 129.798069

global step: 10100, learning rate: 0.0030000, training ppl: 85.001294, valid ppl: 142.349895, test ppl: 131.986123

global step: 10200, learning rate: 0.0030000, training ppl: 85.445916, valid ppl: 140.782633, test ppl: 131.920392

global step: 10300, learning rate: 0.0030000, training ppl: 84.732080, valid ppl: 139.045666, test ppl: 129.649016

global step: 10400, learning rate: 0.0030000, training ppl: 83.628300, valid ppl: 142.415689, test ppl: 130.772156

global step: 10500, learning rate: 0.0030000, training ppl: 83.276734, valid ppl: 141.161240, test ppl: 130.580975

global step: 10600, learning rate: 0.0030000, training ppl: 83.547879, valid ppl: 138.494218, test ppl: 129.427583

global step: 10700, learning rate: 0.0030000, training ppl: 83.549739, valid ppl: 142.538653, test ppl: 131.916356

global step: 10800, learning rate: 0.0030000, training ppl: 83.012066, valid ppl: 138.391537, test ppl: 129.343659

global step: 10900, learning rate: 0.0030000, training ppl: 82.995716, valid ppl: 140.408629, test ppl: 129.443087

global step: 11000, learning rate: 0.0030000, training ppl: 90.900623, valid ppl: 140.172092, test ppl: 129.371113

global step: 11100, learning rate: 0.0030000, training ppl: 83.569404, valid ppl: 141.058322, test ppl: 129.166065

global step: 11200, learning rate: 0.0030000, training ppl: 80.504006, valid ppl: 140.331412, test ppl: 130.042926

global step: 11300, learning rate: 0.0030000, training ppl: 81.086686, valid ppl: 139.026621, test ppl: 128.650487

global step: 11400, learning rate: 0.0030000, training ppl: 82.061923, valid ppl: 137.348375, test ppl: 126.961796

global step: 11500, learning rate: 0.0030000, training ppl: 81.452109, valid ppl: 137.149962, test ppl: 125.871812

global step: 11600, learning rate: 0.0030000, training ppl: 80.092025, valid ppl: 138.651945, test ppl: 128.560312

global step: 11700, learning rate: 0.0030000, training ppl: 80.003641, valid ppl: 138.223613, test ppl: 127.115703

global step: 11800, learning rate: 0.0030000, training ppl: 80.062316, valid ppl: 138.543051, test ppl: 128.288812

global step: 11900, learning rate: 0.0030000, training ppl: 80.119693, valid ppl: 137.547030, test ppl: 127.268520

global step: 12000, learning rate: 0.0030000, training ppl: 79.597365, valid ppl: 139.266678, test ppl: 128.832284

global step: 12100, learning rate: 0.0030000, training ppl: 79.771283, valid ppl: 138.616218, test ppl: 129.757650

global step: 12200, learning rate: 0.0030000, training ppl: 79.906747, valid ppl: 139.367048, test ppl: 129.828355

global step: 12300, learning rate: 0.0030000, training ppl: 80.402973, valid ppl: 137.192865, test ppl: 126.318474

global step: 12400, learning rate: 0.0030000, training ppl: 77.195417, valid ppl: 138.087380, test ppl: 128.113804

global step: 12500, learning rate: 0.0030000, training ppl: 78.197850, valid ppl: 138.223850, test ppl: 127.972230

global step: 12600, learning rate: 0.0030000, training ppl: 78.733260, valid ppl: 138.189889, test ppl: 128.629543

global step: 12700, learning rate: 0.0030000, training ppl: 78.429783, valid ppl: 134.744781, test ppl: 123.572703

global step: 12800, learning rate: 0.0030000, training ppl: 77.176510, valid ppl: 136.816478, test ppl: 127.277277

global step: 12900, learning rate: 0.0030000, training ppl: 77.155081, valid ppl: 136.369717, test ppl: 126.316907

global step: 13000, learning rate: 0.0030000, training ppl: 77.228982, valid ppl: 134.540824, test ppl: 125.412538

global step: 13100, learning rate: 0.0030000, training ppl: 77.318749, valid ppl: 133.168192, test ppl: 122.266255

global step: 13200, learning rate: 0.0030000, training ppl: 76.831068, valid ppl: 136.507781, test ppl: 127.404314

global step: 13300, learning rate: 0.0030000, training ppl: 76.921648, valid ppl: 134.831734, test ppl: 123.915443

global step: 13400, learning rate: 0.0030000, training ppl: 77.123406, valid ppl: 134.786133, test ppl: 125.494255

global step: 13500, learning rate: 0.0030000, training ppl: 78.147149, valid ppl: 137.474542, test ppl: 125.497794

global step: 13600, learning rate: 0.0030000, training ppl: 74.506552, valid ppl: 137.176627, test ppl: 127.409171

global step: 13700, learning rate: 0.0030000, training ppl: 75.599512, valid ppl: 135.979087, test ppl: 125.394103

global step: 13800, learning rate: 0.0030000, training ppl: 76.421116, valid ppl: 132.961422, test ppl: 124.302555

global step: 13900, learning rate: 0.0030000, training ppl: 76.153415, valid ppl: 136.276370, test ppl: 125.058080

global step: 14000, learning rate: 0.0030000, training ppl: 75.106178, valid ppl: 133.982785, test ppl: 123.575952

global step: 14100, learning rate: 0.0030000, training ppl: 74.999928, valid ppl: 135.321476, test ppl: 125.644276

global step: 14200, learning rate: 0.0030000, training ppl: 74.965752, valid ppl: 132.723679, test ppl: 123.300823

global step: 14300, learning rate: 0.0030000, training ppl: 75.054434, valid ppl: 134.043053, test ppl: 124.457861

global step: 14400, learning rate: 0.0030000, training ppl: 74.793237, valid ppl: 136.723986, test ppl: 125.486012

global step: 14500, learning rate: 0.0030000, training ppl: 74.782669, valid ppl: 135.491745, test ppl: 124.292458

global step: 14600, learning rate: 0.0030000, training ppl: 74.937039, valid ppl: 132.936715, test ppl: 123.470537

global step: 14700, learning rate: 0.0030000, training ppl: 75.450014, valid ppl: 136.780431, test ppl: 124.969832

global step: 14800, learning rate: 0.0030000, training ppl: 73.187391, valid ppl: 132.243940, test ppl: 122.640643

global step: 14900, learning rate: 0.0030000, training ppl: 73.103330, valid ppl: 132.490229, test ppl: 123.326990

global step: 15000, learning rate: 0.0030000, training ppl: 73.724439, valid ppl: 132.543724, test ppl: 123.304687

global step: 15100, learning rate: 0.0030000, training ppl: 73.745146, valid ppl: 133.273460, test ppl: 122.746036

global step: 15200, learning rate: 0.0030000, training ppl: 73.173398, valid ppl: 132.310866, test ppl: 122.594217

global step: 15300, learning rate: 0.0030000, training ppl: 72.659064, valid ppl: 134.807087, test ppl: 124.851276

global step: 15400, learning rate: 0.0030000, training ppl: 72.629703, valid ppl: 132.831073, test ppl: 123.771385

global step: 15500, learning rate: 0.0030000, training ppl: 72.848033, valid ppl: 137.411384, test ppl: 125.085374

global step: 15600, learning rate: 0.0030000, training ppl: 72.819817, valid ppl: 132.650351, test ppl: 122.576238

global step: 15700, learning rate: 0.0030000, training ppl: 72.548556, valid ppl: 133.205122, test ppl: 123.626572

global step: 15800, learning rate: 0.0030000, training ppl: 72.674823, valid ppl: 134.819019, test ppl: 125.644360

global step: 15900, learning rate: 0.0030000, training ppl: 74.094375, valid ppl: 131.311518, test ppl: 122.222419

global step: 16000, learning rate: 0.0030000, training ppl: 72.560886, valid ppl: 131.438455, test ppl: 121.525337

global step: 16100, learning rate: 0.0030000, training ppl: 71.064896, valid ppl: 136.819376, test ppl: 125.503279

global step: 16200, learning rate: 0.0030000, training ppl: 71.581561, valid ppl: 134.178331, test ppl: 124.883679

global step: 16300, learning rate: 0.0030000, training ppl: 72.179648, valid ppl: 132.270753, test ppl: 121.763009

global step: 16400, learning rate: 0.0030000, training ppl: 71.715202, valid ppl: 131.045554, test ppl: 121.032427

global step: 16500, learning rate: 0.0030000, training ppl: 70.822720, valid ppl: 131.578803, test ppl: 121.605141

global step: 16600, learning rate: 0.0030000, training ppl: 70.716977, valid ppl: 131.883343, test ppl: 122.605627

global step: 16700, learning rate: 0.0030000, training ppl: 71.118778, valid ppl: 131.355815, test ppl: 121.697309

global step: 16800, learning rate: 0.0030000, training ppl: 71.218219, valid ppl: 130.970452, test ppl: 120.943558

global step: 16900, learning rate: 0.0030000, training ppl: 70.755887, valid ppl: 134.301774, test ppl: 123.082897

global step: 17000, learning rate: 0.0030000, training ppl: 70.829336, valid ppl: 131.184347, test ppl: 121.824449

global step: 17100, learning rate: 0.0030000, training ppl: 79.412418, valid ppl: 133.823740, test ppl: 124.129687

global step: 17200, learning rate: 0.0030000, training ppl: 72.456551, valid ppl: 134.208632, test ppl: 123.057982

global step: 17300, learning rate: 0.0030000, training ppl: 69.575903, valid ppl: 132.066778, test ppl: 122.090593

global step: 17400, learning rate: 0.0030000, training ppl: 70.074157, valid ppl: 135.619427, test ppl: 125.592240

global step: 17500, learning rate: 0.0030000, training ppl: 70.965841, valid ppl: 129.628575, test ppl: 119.907554

global step: 17600, learning rate: 0.0030000, training ppl: 70.502308, valid ppl: 130.587783, test ppl: 120.577614

global step: 17700, learning rate: 0.0030000, training ppl: 69.455262, valid ppl: 130.651027, test ppl: 121.185817

global step: 17800, learning rate: 0.0030000, training ppl: 69.440583, valid ppl: 131.700160, test ppl: 121.364502

global step: 17900, learning rate: 0.0030000, training ppl: 69.573943, valid ppl: 131.907788, test ppl: 121.653296

global step: 18000, learning rate: 0.0030000, training ppl: 69.725175, valid ppl: 131.118212, test ppl: 120.916610

global step: 18100, learning rate: 0.0030000, training ppl: 69.265744, valid ppl: 130.095918, test ppl: 121.154527

global step: 18200, learning rate: 0.0030000, training ppl: 69.468946, valid ppl: 132.439965, test ppl: 122.953011

global step: 18300, learning rate: 0.0030000, training ppl: 69.644749, valid ppl: 132.568028, test ppl: 122.868141

global step: 18400, learning rate: 0.0030000, training ppl: 70.304736, valid ppl: 132.237795, test ppl: 123.772291

global step: 18500, learning rate: 0.0030000, training ppl: 67.522416, valid ppl: 131.475597, test ppl: 121.146631

global step: 18600, learning rate: 0.0030000, training ppl: 68.531210, valid ppl: 132.027334, test ppl: 122.627659

global step: 18700, learning rate: 0.0030000, training ppl: 69.156517, valid ppl: 132.159813, test ppl: 123.365899

global step: 18800, learning rate: 0.0030000, training ppl: 69.102591, valid ppl: 130.195877, test ppl: 120.634787

global step: 18900, learning rate: 0.0030000, training ppl: 68.052149, valid ppl: 130.360508, test ppl: 120.678954

global step: 19000, learning rate: 0.0030000, training ppl: 68.022113, valid ppl: 130.797623, test ppl: 119.427669

global step: 19100, learning rate: 0.0030000, training ppl: 68.126694, valid ppl: 130.493271, test ppl: 121.760430

global step: 19200, learning rate: 0.0030000, training ppl: 68.252513, valid ppl: 131.356951, test ppl: 120.349796

global step: 19300, learning rate: 0.0030000, training ppl: 67.862670, valid ppl: 131.266379, test ppl: 122.517742

global step: 19400, learning rate: 0.0030000, training ppl: 67.960816, valid ppl: 129.853704, test ppl: 121.744412

global step: 19500, learning rate: 0.0030000, training ppl: 68.153040, valid ppl: 127.846233, test ppl: 119.013520

global step: 19600, learning rate: 0.0030000, training ppl: 69.212375, valid ppl: 128.963712, test ppl: 119.142288

global step: 19700, learning rate: 0.0030000, training ppl: 66.440107, valid ppl: 129.446401, test ppl: 120.608678

global step: 19800, learning rate: 0.0030000, training ppl: 67.327091, valid ppl: 131.267846, test ppl: 121.008888

global step: 19900, learning rate: 0.0030000, training ppl: 68.097075, valid ppl: 131.471105, test ppl: 121.699278

global step: 20000, learning rate: 0.0030000, training ppl: 67.868531, valid ppl: 129.226470, test ppl: 118.685793

global step: 20100, learning rate: 0.0030000, training ppl: 67.013736, valid ppl: 128.510326, test ppl: 119.027757

global step: 20200, learning rate: 0.0030000, training ppl: 66.887210, valid ppl: 129.011270, test ppl: 121.430464

global step: 20300, learning rate: 0.0030000, training ppl: 66.981977, valid ppl: 130.692314, test ppl: 120.854450

global step: 20400, learning rate: 0.0030000, training ppl: 67.116643, valid ppl: 129.067345, test ppl: 119.598883

global step: 20500, learning rate: 0.0030000, training ppl: 66.899661, valid ppl: 130.046437, test ppl: 120.387589

global step: 20600, learning rate: 0.0030000, training ppl: 66.859414, valid ppl: 130.925222, test ppl: 121.141836

global step: 20700, learning rate: 0.0030000, training ppl: 67.042305, valid ppl: 130.002210, test ppl: 120.496349

global step: 20800, learning rate: 0.0030000, training ppl: 67.681529, valid ppl: 130.372762, test ppl: 121.262324

global step: 20900, learning rate: 0.0030000, training ppl: 65.929765, valid ppl: 131.263132, test ppl: 120.438204

global step: 21000, learning rate: 0.0030000, training ppl: 65.874273, valid ppl: 129.035015, test ppl: 119.599198

global step: 21100, learning rate: 0.0030000, training ppl: 66.514196, valid ppl: 130.028748, test ppl: 120.936043

global step: 21200, learning rate: 0.0030000, training ppl: 66.681451, valid ppl: 128.598533, test ppl: 118.538707

global step: 21300, learning rate: 0.0030000, training ppl: 66.194423, valid ppl: 129.823242, test ppl: 119.614807

global step: 21400, learning rate: 0.0030000, training ppl: 65.759227, valid ppl: 131.413138, test ppl: 120.654646

global step: 21500, learning rate: 0.0030000, training ppl: 65.815458, valid ppl: 130.678645, test ppl: 120.367220

global step: 21600, learning rate: 0.0030000, training ppl: 66.015376, valid ppl: 128.405255, test ppl: 118.169143

global step: 21700, learning rate: 0.0030000, training ppl: 66.005345, valid ppl: 129.371555, test ppl: 119.360593

global step: 21800, learning rate: 0.0030000, training ppl: 65.730106, valid ppl: 133.687276, test ppl: 122.634813

global step: 21900, learning rate: 0.0030000, training ppl: 65.890878, valid ppl: 129.705559, test ppl: 120.449300

global step: 22000, learning rate: 0.0030000, training ppl: 68.153846, valid ppl: 130.071521, test ppl: 121.204267

global step: 22100, learning rate: 0.0030000, training ppl: 65.995319, valid ppl: 128.284367, test ppl: 118.774532

global step: 22200, learning rate: 0.0030000, training ppl: 64.888915, valid ppl: 133.930283, test ppl: 124.021567

global step: 22300, learning rate: 0.0030000, training ppl: 65.520222, valid ppl: 128.358737, test ppl: 118.558987

global step: 22400, learning rate: 0.0030000, training ppl: 66.015377, valid ppl: 129.582818, test ppl: 119.184215

global step: 22500, learning rate: 0.0030000, training ppl: 65.614071, valid ppl: 129.137695, test ppl: 117.665433

global step: 22600, learning rate: 0.0003000, training ppl: 64.950326, valid ppl: 123.185655, test ppl: 114.098872

global step: 22700, learning rate: 0.0003000, training ppl: 64.530687, valid ppl: 123.534681, test ppl: 112.488052

global step: 22800, learning rate: 0.0003000, training ppl: 64.256868, valid ppl: 121.045952, test ppl: 113.066004

global step: 22900, learning rate: 0.0003000, training ppl: 63.327434, valid ppl: 123.206350, test ppl: 113.486749

global step: 23000, learning rate: 0.0003000, training ppl: 62.747137, valid ppl: 121.839235, test ppl: 112.718160

global step: 23100, learning rate: 0.0003000, training ppl: 62.497271, valid ppl: 121.229327, test ppl: 111.612636

global step: 23200, learning rate: 0.0003000, training ppl: 62.060058, valid ppl: 120.769154, test ppl: 111.373583

global step: 23300, learning rate: 0.0003000, training ppl: 56.080919, valid ppl: 121.365733, test ppl: 111.312629

global step: 23400, learning rate: 0.0003000, training ppl: 55.761488, valid ppl: 121.704991, test ppl: 111.695276

global step: 23500, learning rate: 0.0003000, training ppl: 56.421615, valid ppl: 120.589560, test ppl: 111.523926

global step: 23600, learning rate: 0.0003000, training ppl: 57.098864, valid ppl: 120.482540, test ppl: 110.227745

global step: 23700, learning rate: 0.0003000, training ppl: 56.363418, valid ppl: 119.924538, test ppl: 110.488607

global step: 23800, learning rate: 0.0003000, training ppl: 55.852130, valid ppl: 118.907126, test ppl: 109.664126

global step: 23900, learning rate: 0.0003000, training ppl: 56.047028, valid ppl: 118.810795, test ppl: 108.919616

global step: 24000, learning rate: 0.0003000, training ppl: 56.127589, valid ppl: 118.520531, test ppl: 109.546022

global step: 24100, learning rate: 0.0003000, training ppl: 55.955358, valid ppl: 119.997949, test ppl: 110.051875

global step: 24200, learning rate: 0.0003000, training ppl: 55.590344, valid ppl: 118.958718, test ppl: 109.648519

global step: 24300, learning rate: 0.0003000, training ppl: 55.803405, valid ppl: 119.773997, test ppl: 110.494182

global step: 24400, learning rate: 0.0003000, training ppl: 55.892228, valid ppl: 121.560309, test ppl: 110.706297

global step: 24500, learning rate: 0.0003000, training ppl: 53.929769, valid ppl: 120.174055, test ppl: 110.843423

global step: 24600, learning rate: 0.0003000, training ppl: 52.870984, valid ppl: 119.386671, test ppl: 110.660781
